SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO,GROUP
LKOH,2007-10-08,7093,S,TRUE,-100,1.396936602725e-4,2168.5,1
LKOH,2007-10-08,7106,B,TRUE,2.795267418082986,0.0021333860579986,2168,4
LKOH,2007-10-08,7148,B,TRUE,0.0456639960147894,0.0023402958265263,2168.01,4
LKOH,2007-10-08,7164,B,TRUE,0.003644069872924,0.0128482887582433,2168.23,4
LKOH,2007-10-08,7166,B,TRUE,0.0013837446898889,0.0022728350075821,2168.03,4
LKOH,2007-10-08,7281,S,TRUE,-2.3059794993936142,0.0056138192537639,2176.1,4
LKOH,2007-10-08,7302,S,TRUE,-2.001122047026482,0.0164707084754906,2171.04,4
LKOH,2007-10-08,7359,S,TRUE,-100,0.0769834863392975,2171.75,1
LKOH,2007-10-08,7364,S,TRUE,0.0041442569807773,0.0569119861382035,2171.68,4
LKOH,2007-10-08,7367,B,TRUE,2.005714454018644,0.0022326567624981,2171.31,4
LKOH,2007-10-08,7373,S,TRUE,-1.5155864251350273,0.0041663245036791,2170,4
LKOH,2007-10-08,7378,B,TRUE,73.17995406648802,7.299425230431e-4,2169.92,3
LKOH,2007-10-08,7393,S,TRUE,0.0460831616735561,0.0090656621988173,2169.99,4
LKOH,2007-10-08,7416,S,TRUE,-0.1090583398905793,0.0051301052765661,2169.93,4
LKOH,2007-10-08,7455,B,TRUE,0,0.0093410925290656,2169.24,4
LKOH,2007-10-08,7478,S,TRUE,-21.184607695664575,0.005004750270538,2171.5,4
LKOH,2007-10-08,7486,B,TRUE,50.23379967129272,0.0027061558883951,2169.5,3
LKOH,2007-10-08,7522,S,TRUE,-3.9096759230815454,0.0101969224453923,2168.99,4
LKOH,2007-10-08,7530,B,TRUE,100,0.0043984645785235,2169.27,3
LKOH,2007-10-08,7616,B,TRUE,2.765613431996973e-5,0.0017882959823217,2169.52,4
LKOH,2007-10-08,7677,B,TRUE,100,9.063012988877e-4,2169.53,3
LKOH,2007-10-08,7740,S,TRUE,-0.9609011664984428,0.0044166820167364,2171.5,4
LKOH,2007-10-08,7754,B,TRUE,-0.0010071061646829,1.987713537394e-4,2171.52,4
