SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
LKOH,2007-10-08,10512,B,TRUE,-0.00461964179297117,0.00153283050151608,2164.67
LKOH,2007-10-08,10523,S,TRUE,-100,0.01770203898351438,2164.79
LKOH,2007-10-08,10527,B,TRUE,60.012014731909744,0.00813360646097994,2164.01
LKOH,2007-10-08,10582,S,TRUE,4.6210934432313e-4,0.00478952322477919,2163.99
LKOH,2007-10-08,10592,S,TRUE,0.01377908776943305,0.00947561689801084,2163.98
LKOH,2007-10-08,10673,S,TRUE,0.00841393555027191,0.01308413282274575,2162.9
LKOH,2007-10-08,10718,S,TRUE,-3.555505184984449,0.00394309601177541,2162
LKOH,2007-10-08,10759,S,TRUE,-0.7676190272648015,0.01377567755090313,2158.1
LKOH,2007-10-08,10763,S,TRUE,-0.99158290461802,0.01407660124152694,2157.94
LKOH,2007-10-08,10891,B,TRUE,-0.02364405954595145,0.00135405104618416,2156.99
LKOH,2007-10-08,10921,B,TRUE,100,0.00202267006705478,2154.5
LKOH,2007-10-08,10924,B,TRUE,0.09958618058249692,0.00264073811093663,2155.01
LKOH,2007-10-08,10980,B,TRUE,100,0.01101058936157307,2155.52
LKOH,2007-10-08,11043,B,TRUE,96.15884113567334,0.00145108527792744,2156.01
LKOH,2007-10-08,11060,S,TRUE,1.0246120052458711,0.00503085825902838,2157.89
LKOH,2007-10-08,11119,B,TRUE,100,0.0223885957312654,2156.8
LKOH,2007-10-08,11133,S,TRUE,-27.877048469525818,0.00373490406801608,2157.88
LKOH,2007-10-08,11179,S,TRUE,-7.821068961212972,0.00252403167841086,2157.88
LKOH,2007-10-08,11223,B,TRUE,0.0927213722763097,0.00455236042919633,2157
LKOH,2007-10-08,11250,S,TRUE,-0.7490894049844056,0.00325042452745311,2157.39
LKOH,2007-10-08,11302,S,TRUE,-100,0.00162724536230598,2158.9
LKOH,2007-10-08,11310,B,TRUE,46.91359204740967,0.0051986149932588,2157.83
LKOH,2007-10-08,11339,B,TRUE,0.9359872042230044,0.00355128571672046,2160
LKOH,2007-10-08,11422,S,TRUE,0.00695458654983382,0.01888554223010531,2156.85
LKOH,2007-10-08,11433,B,TRUE,15.486252988021835,0.00222165478983606,2156.87
LKOH,2007-10-08,11454,B,TRUE,0.03538986772683754,2.8999808762996e-4,2155.55
LKOH,2007-10-08,11467,S,TRUE,-100,0.00402317240476667,2156
LKOH,2007-10-08,11489,S,TRUE,-0.33508802047098346,0.00236271919994042,2155
LKOH,2007-10-08,11499,S,TRUE,0.00510206448082446,2.5663237739157e-4,2155.99
LKOH,2007-10-08,11547,B,TRUE,6.295523542301953,0.00346650650516304,2155
LKOH,2007-10-08,11607,S,TRUE,-1.0836414995761865,0.00160821908116379,2154.03
LKOH,2007-10-08,11623,B,TRUE,10.592797113886958,0.00112344861065353,2153.35
LKOH,2007-10-08,11633,B,TRUE,100,0.00176201342459754,2154
LKOH,2007-10-08,11674,S,TRUE,-11.34671050970328,0.00428899959472377,2159.4
LKOH,2007-10-08,11722,B,TRUE,9.958188045519831,0.00106935893748454,2155
LKOH,2007-10-08,11777,S,TRUE,0,0.0035379385490975,2158.8
LKOH,2007-10-08,11805,B,TRUE,0.05998731751082663,0.00184120931006701,2156.11
LKOH,2007-10-08,11824,S,TRUE,-100,0.00374543155674084,2156.6
