,Unnamed: 0,DATE,SECCODE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO,GROUP
1688,16555,2007-10-08,LKOH,66049,B,T,0.0291467221328862,0.0162654275074694,2174.9,4
1689,16560,2007-10-08,LKOH,66074,B,T,100.0,0.0239248804433176,2176.0,3
1690,16566,2007-10-08,LKOH,66091,B,T,0.0116826475610653,0.0002622573772873,2176.32,4
1691,16574,2007-10-08,LKOH,66132,B,T,0.0142442942411671,0.0089390446878265,2176.31,4
1692,16585,2007-10-08,LKOH,66187,B,T,5.046045988850662,0.0177836951711823,2176.03,4
1693,16588,2007-10-08,LKOH,66195,B,T,100.0,0.0002638316796705,2174.5,3
1694,16595,2007-10-08,LKOH,66226,S,T,-0.2282110176664681,0.0036564433162072,2178.09,4
1695,16626,2007-10-08,LKOH,66358,S,T,-9.089656842078911,0.0079154691617565,2177.9,4
1696,16642,2007-10-08,LKOH,66437,S,T,-0.0031749178722189,0.0023686366754441,2177.01,4
1697,16650,2007-10-08,LKOH,66457,S,T,-0.000294591379492,0.0020408148727989,2178.0,4
1698,16673,2007-10-08,LKOH,66586,B,T,0.0014166651334715,0.0104876802506591,2174.12,4
1699,16678,2007-10-08,LKOH,66615,B,T,0.0420114435746138,0.0751148986182116,2175.9,4
1700,16689,2007-10-08,LKOH,66653,B,T,0.0016086517889438,0.0213804856658809,2175.81,4
1701,16691,2007-10-08,LKOH,66660,B,T,1.0851861115085637,0.0042629574292422,2176.31,4
1702,16692,2007-10-08,LKOH,66665,B,T,100.0,0.0361821539604969,2175.82,3
1703,16702,2007-10-08,LKOH,66712,S,T,0.0077785408546644,0.0003277521671106,2177.7,4
1704,16703,2007-10-08,LKOH,66716,B,T,-0.005053057099551,0.001746938572637,2176.9,4
1705,16720,2007-10-08,LKOH,66790,B,T,-0.0009190754101365,0.0023853587896726,2176.1,4
1706,16722,2007-10-08,LKOH,66794,S,T,-0.0151648836439907,0.0023579706136348,2176.09,4
1707,16723,2007-10-08,LKOH,66796,B,T,0.0083428997244129,0.0114692800120689,2177.0,4
1708,16728,2007-10-08,LKOH,66827,B,T,0.0,0.0064916371744289,2176.1,4
1709,16742,2007-10-08,LKOH,66875,B,T,100.0,0.0394085661686993,2176.21,3
1710,16751,2007-10-08,LKOH,66904,B,T,82.783653799489,0.0004744369206419,2176.51,3
1711,16757,2007-10-08,LKOH,66941,B,T,0.0,0.0011553712879736,2176.53,4
1712,16761,2007-10-08,LKOH,66954,S,T,-7.045284389910889,0.0013585979222394,2176.54,4
1713,16780,2007-10-08,LKOH,67038,B,T,-0.0088076969383255,0.0236831591734511,2175.75,4
1714,16789,2007-10-08,LKOH,67092,B,T,-0.0206939366765454,0.0131230921341943,2174.55,4
1715,16797,2007-10-08,LKOH,67122,B,T,47.07291053254352,0.0054385276954759,2174.11,3
1716,16812,2007-10-08,LKOH,67169,S,T,0.0,0.0027855423196131,2176.0,4
1717,16814,2007-10-08,LKOH,67175,B,T,0.0,0.0080243099303142,2175.75,4
1718,16821,2007-10-08,LKOH,67192,B,T,0.0064448950084315,0.0077214466638381,2176.17,4
1719,16825,2007-10-08,LKOH,67214,S,T,-0.0101074142477694,0.0032613544525631,2176.62,4
1720,16832,2007-10-08,LKOH,67240,B,T,0.2178574209636365,0.008847183804232,2176.0,4
1721,16838,2007-10-08,LKOH,67275,B,T,0.0089642601842011,0.000967666045701,2175.31,4
1722,16852,2007-10-08,LKOH,67352,B,T,0.0022987977287962,0.0443850275297139,2175.05,4
1723,16854,2007-10-08,LKOH,67361,B,T,7.694979396246225,0.004491592648727,2175.1,4
1724,16857,2007-10-08,LKOH,67378,B,T,0.0093946269008003,0.0281497702704811,2175.5,4
1725,16873,2007-10-08,LKOH,67448,S,T,-2.6791952067914093,0.0007417804196746,2175.3,4
1726,16877,2007-10-08,LKOH,67463,B,T,0.0072031117146875,0.0006808549283269,2175.11,4
1727,16882,2007-10-08,LKOH,67483,B,T,-0.0003407085644706,0.001496205792007,2176.0,4
1728,16883,2007-10-08,LKOH,67488,B,T,-0.0091945568223611,0.0003673985647618,2175.2,4
1729,16907,2007-10-08,LKOH,67583,B,T,54.38557986280516,0.0069151048379254,2178.35,3
1730,16912,2007-10-08,LKOH,67617,B,T,31.26004200426928,0.0062195726761045,2178.35,4
1731,16922,2007-10-08,LKOH,67654,B,T,0.0031248565658391,0.0046902360334806,2178.7,4
1732,16923,2007-10-08,LKOH,67664,S,T,0.0045894717517971,0.0185413768835241,2178.9,4
1733,16926,2007-10-08,LKOH,67675,B,T,0.8406575741022076,0.0077162050520291,2179.0,4
1734,16927,2007-10-08,LKOH,67681,S,T,-100.0,0.0009002428864557,2178.89,1
1735,16954,2007-10-08,LKOH,67787,S,T,-0.0247224777392389,0.0009056417354861,2176.19,4
1736,16959,2007-10-08,LKOH,67804,B,T,-0.0256910196123383,0.0150407128141403,2179.75,4
1737,16970,2007-10-08,LKOH,67846,S,T,-0.0001486825008396,0.0062288572853252,2177.0,4
1738,16983,2007-10-08,LKOH,67889,B,T,0.0060636519446048,0.0021520072104344,2180.42,4
1739,16991,2007-10-08,LKOH,67921,B,T,55.555759428218735,0.0020336436610181,2180.01,3
1740,17005,2007-10-08,LKOH,68034,B,T,0.0,0.0019765695267718,2180.16,4
1741,17008,2007-10-08,LKOH,68045,S,T,-0.5528534313147346,0.013190775114428,2182.09,4
1742,17012,2007-10-08,LKOH,68063,B,T,0.4543744433826731,0.0019351659294684,2182.0,4
1743,17029,2007-10-08,LKOH,68160,B,T,0.987589384094282,0.005134220467634,2183.87,4
1744,17034,2007-10-08,LKOH,68178,B,T,-0.0004578775543944,0.0134694173622889,2183.99,4
1745,17035,2007-10-08,LKOH,68182,B,T,0.0015634622455778,0.0047493988478125,2178.21,4
1746,17043,2007-10-08,LKOH,68217,B,T,10.728360339882231,0.0027024352025866,2186.1,4
1747,17045,2007-10-08,LKOH,68226,B,T,0.0594340053947872,0.0110059969373667,2187.3,4
1748,17046,2007-10-08,LKOH,68236,B,T,0.0692312736266895,0.0149747068406953,2185.91,4
1749,17047,2007-10-08,LKOH,68238,B,T,0.0331558125806802,0.0015254589788582,2178.02,4
1750,17049,2007-10-08,LKOH,68266,B,T,79.01968523584267,0.0017210434368464,2185.0,3
1751,17050,2007-10-08,LKOH,68269,S,T,-100.0,0.0096028009509207,2187.68,1
1752,17057,2007-10-08,LKOH,68294,B,T,36.02013880094557,0.0006373478234823,2185.01,4
1753,17061,2007-10-08,LKOH,68309,B,T,-0.0448102423411073,0.0012792437111492,2187.0,4
1754,17063,2007-10-08,LKOH,68313,B,T,0.0002275903192181,0.0326901425584973,2186.0,4
1755,17066,2007-10-08,LKOH,68324,B,T,0.0140219186179552,0.0058173570036787,2186.1,4
1756,17067,2007-10-08,LKOH,68328,S,T,-11.730201566636389,0.0014222253131647,2187.97,4
1757,17083,2007-10-08,LKOH,68388,B,T,0.6666666666666666,0.0137575321818208,2185.3,4
1758,17088,2007-10-08,LKOH,68400,B,T,9.099664593190331,0.0007004430151701,2186.12,4
1759,17117,2007-10-08,LKOH,68540,B,T,100.0,0.0180692244320684,2181.22,3
1760,17147,2007-10-08,LKOH,68679,B,T,-0.0001046093494628,0.0090261236891469,2185.0,4
1761,17156,2007-10-08,LKOH,68724,B,T,0.0727825358534162,0.0166257647429308,2184.59,4
1762,17162,2007-10-08,LKOH,68738,B,T,84.18669363881428,0.0122163983591152,2185.0,3
1763,17165,2007-10-08,LKOH,68746,B,T,-0.0036597862684785,0.0012805186021024,2185.92,4
1764,17175,2007-10-08,LKOH,68790,B,T,0.0048226699603495,0.0095318976458213,2186.01,4
1765,17177,2007-10-08,LKOH,68804,S,T,-0.606134494513685,0.0010191370889349,2185.07,4
1766,17178,2007-10-08,LKOH,68808,B,T,23.836993783413075,0.0040400989620838,2184.1,4
1767,17181,2007-10-08,LKOH,68827,S,T,-94.33960108203549,0.000166259308946,2187.91,1
1768,17204,2007-10-08,LKOH,68896,B,T,100.0,0.0049015312396331,2185.12,3
1769,17213,2007-10-08,LKOH,68925,S,T,-100.0,0.0009767954478642,2187.49,1
1770,17214,2007-10-08,LKOH,68927,S,T,0.0,0.021854488001486,2187.0,4
1771,17239,2007-10-08,LKOH,69026,S,T,-0.0457456541628545,0.0400512033274493,2186.0,4
1772,17242,2007-10-08,LKOH,69032,S,T,-59.52248837019052,0.0004670349453292,2186.96,1
1773,17257,2007-10-08,LKOH,69106,B,T,0.0006406665861188,0.0123064368063369,2185.23,4
1774,17265,2007-10-08,LKOH,69126,B,T,4.038339001727032,0.0012110255324297,2185.23,4
1775,17267,2007-10-08,LKOH,69134,S,T,-100.0,0.0021721423972811,2185.92,1
1776,17304,2007-10-08,LKOH,69284,B,T,1.967520397985825,0.001467491601419,2183.15,4
1777,17306,2007-10-08,LKOH,69290,S,T,0.0338787506981669,0.0471054476302213,2184.26,4
1778,17334,2007-10-08,LKOH,69391,B,T,0.000458288841135,0.0449297160265697,2182.03,4
1779,17340,2007-10-08,LKOH,69412,B,T,100.0,0.0705135070619332,2182.04,3
1780,17358,2007-10-08,LKOH,69477,S,T,-49.99954191059927,0.0312259044866812,2182.98,4
1781,17366,2007-10-08,LKOH,69510,S,T,-1.8832436645435453,0.0149006330405478,2182.15,4
1782,17387,2007-10-08,LKOH,69597,B,T,9.279972418220671,0.0084703680408707,2182.0,4
1783,17399,2007-10-08,LKOH,69667,B,T,0.0146767446980334,0.0206613170263183,2180.34,4
1784,17402,2007-10-08,LKOH,69679,B,T,83.33597926203963,0.0001258905607694,2180.03,3
1785,17403,2007-10-08,LKOH,69681,B,T,100.0,0.0070443051761233,2180.11,3
1786,17406,2007-10-08,LKOH,69687,B,T,0.0059628651108017,0.0501729393032974,2180.16,4
1787,17415,2007-10-08,LKOH,69727,B,T,100.0,0.0228175943195062,2178.12,3
1788,17417,2007-10-08,LKOH,69736,B,T,95.24057273850798,0.0260588297777188,2178.31,3
1789,17420,2007-10-08,LKOH,69750,S,T,0.0055032492100494,0.0313058141545417,2180.53,4
1790,17427,2007-10-08,LKOH,69787,B,T,-0.0088683523671609,0.0041294492761558,2180.11,4
1791,17448,2007-10-08,LKOH,69839,B,T,23.01471593613064,0.0062985558506127,2178.39,4
1792,17450,2007-10-08,LKOH,69848,B,T,0.051396894159105,0.0012696799041278,2179.12,4
1793,17457,2007-10-08,LKOH,69870,B,T,7.17791773139511,0.0073084799186055,2179.99,4
1794,17463,2007-10-08,LKOH,69883,S,T,-0.0209537638657749,0.0007088932025051,2176.22,4
1795,17464,2007-10-08,LKOH,69885,B,T,0.0221938354736614,0.0002241048685379,2179.4,4
1796,17471,2007-10-08,LKOH,69907,S,T,0.0024270348811906,0.000569928023022,2180.23,4
1797,17475,2007-10-08,LKOH,69920,B,T,0.1169786798366016,0.0005768711980198,2179.04,4
1798,17482,2007-10-08,LKOH,69959,B,T,-0.0574173470687591,0.0028597121196545,2179.53,4
1799,17492,2007-10-08,LKOH,70000,B,T,0.9923262237117288,0.0024167063181297,2179.16,4
1800,17494,2007-10-08,LKOH,70022,B,T,-0.0011223892250635,0.011418255273541,2180.0,4
1801,17507,2007-10-08,LKOH,70095,S,T,0.0012450857339847,0.0062852792599919,2180.0,4
1802,17509,2007-10-08,LKOH,70113,S,T,0.0356855667441151,0.0090977572054531,2179.99,4
1803,17519,2007-10-08,LKOH,70153,S,T,-0.000917843801341,0.0006237914639922,2179.02,4
1804,17522,2007-10-08,LKOH,70171,S,T,-99.8001778350494,0.0033098126246406,2178.05,1
1805,17545,2007-10-08,LKOH,70295,S,T,-4.317083584388429,0.004360691999731,2179.6,4
1806,17546,2007-10-08,LKOH,70297,B,T,1.376095897097284,0.000245969450052,2179.0,4
1807,17551,2007-10-08,LKOH,70331,B,T,0.0094821341462532,0.0022323549868901,2179.0,4
1808,17555,2007-10-08,LKOH,70350,B,T,-0.0123891287689327,0.0023000509254525,2179.33,4
1809,17562,2007-10-08,LKOH,70379,S,T,-4.994769394534481,0.0010270284629568,2179.48,4
1810,17576,2007-10-08,LKOH,70437,B,T,0.000503435686354,0.0040668931033701,2179.34,4
1811,17582,2007-10-08,LKOH,70479,S,T,-0.0055087060508495,0.0009851318157394,2178.37,4
1812,17584,2007-10-08,LKOH,70490,B,T,0.0032134856219547,0.0011088013267947,2178.32,4
1813,17588,2007-10-08,LKOH,70503,S,T,-8.578626032258782,0.0018179675825033,2179.34,4
1814,17591,2007-10-08,LKOH,70521,B,T,100.0,0.0037017981523584,2178.24,3
1815,17600,2007-10-08,LKOH,70554,B,T,7.079093493629405,0.0015545561655937,2179.2,4
1816,17601,2007-10-08,LKOH,70560,B,T,0.0059676827029062,0.0022665060025062,2178.4,4
1817,17605,2007-10-08,LKOH,70583,B,T,0.0022953574100898,5.087475233987191e-05,2178.31,4
1818,17608,2007-10-08,LKOH,70608,B,T,100.0,0.0009921619913636,2178.4,3
1819,17613,2007-10-08,LKOH,70634,S,T,-16.63147247891026,0.003609123723006,2178.39,4
1820,17616,2007-10-08,LKOH,70653,S,T,-2.861878580578114,0.0007193264948874,2178.32,4
1821,17628,2007-10-08,LKOH,70712,S,T,-1.368336728071968,0.0106904756008008,2179.29,4
1822,17643,2007-10-08,LKOH,70763,S,T,0.0606344569082014,0.0162520178274303,2176.98,4
1823,17649,2007-10-08,LKOH,70801,S,T,-49.9687627762542,0.0031374131708155,2176.89,1
1824,17651,2007-10-08,LKOH,70807,S,T,0.0108783375548127,0.0471676014588835,2176.97,4
1825,17673,2007-10-08,LKOH,70918,B,T,-0.0183772856749099,0.0623755116640138,2176.6,4
1826,17675,2007-10-08,LKOH,70926,S,T,0.0487356321839055,0.0296889898958947,2175.0,4
1827,17676,2007-10-08,LKOH,70932,S,T,0.0109406190463708,0.0005401393231115,2174.97,4
1828,17678,2007-10-08,LKOH,70936,B,T,100.0,0.0389425262594031,2174.23,3
1829,17682,2007-10-08,LKOH,70950,B,T,-0.0003886542263255,0.0014049888379443,2175.0,4
1830,17687,2007-10-08,LKOH,70997,S,T,-12.393398253593988,0.005279465705583,2173.7,4
1831,17704,2007-10-08,LKOH,71104,B,T,52.82911236718953,0.0007003504546233,2173.0,3
1832,17709,2007-10-08,LKOH,71122,S,T,0.0920386562356189,0.0002734563375991,2173.0,4
1833,17711,2007-10-08,LKOH,71132,B,T,3.0077668416926864,0.0005998418118557,2173.08,4
1834,17716,2007-10-08,LKOH,71150,B,T,-0.0072711064261912,0.0003723304046001,2174.97,4
1835,17740,2007-10-08,LKOH,71259,B,T,22.54870212511357,0.0008344208058071,2173.02,4
