,SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
7860,LKOH,2007-10-08,30431,B,T,100.0,0.020887927169542735,2161.71
7864,LKOH,2007-10-08,30441,B,T,0.0,0.014802163606081746,2161.8
7867,LKOH,2007-10-08,30450,S,T,-6.992723626146096,0.007665395137063306,2162.85
7869,LKOH,2007-10-08,30467,B,T,10.525635646512852,0.0030395904508289362,2162.77
7874,LKOH,2007-10-08,30491,S,T,0.0005851860066048262,0.006552489322764895,2162.98
7891,LKOH,2007-10-08,30581,B,T,0.03513056534965069,0.0114218661897594,2163.45
7942,LKOH,2007-10-08,30787,B,T,0.0022147984662413216,0.0001660153497042106,2163.04
7964,LKOH,2007-10-08,30889,B,T,0.08733826247688875,0.006417884175487554,2164.0
7977,LKOH,2007-10-08,30965,B,T,0.048520135856388806,0.014783360927802348,2164.05
7978,LKOH,2007-10-08,30974,S,T,-4.057266327572058,0.0023286214941306096,2165.04
7989,LKOH,2007-10-08,31011,S,T,-3.701428059629437,0.004059757605178464,2165.7
8016,LKOH,2007-10-08,31113,S,T,4.947890223301252,0.008769518536275778,2166.58
8023,LKOH,2007-10-08,31133,S,T,-6.260211368263249,0.0017781721681632415,2166.5
8026,LKOH,2007-10-08,31145,B,T,50.000461836168235,0.004143825125778127,2165.27
8037,LKOH,2007-10-08,31198,S,T,-52.3807325320721,0.007349083841399331,2165.99
8039,LKOH,2007-10-08,31205,S,T,-7.4612238198641805,0.00478850701913896,2166.0
8044,LKOH,2007-10-08,31227,S,T,-4.382904313258718,0.0026140081923875717,2165.9
8067,LKOH,2007-10-08,31312,B,T,7.391775693863236,0.001686598100449491,2164.3
8078,LKOH,2007-10-08,31340,B,T,-0.016624029110527967,0.0017186405048218846,2165.54
8133,LKOH,2007-10-08,31506,S,T,0.038871644021704954,0.0038043751318372313,2165.29
8185,LKOH,2007-10-08,31709,B,T,100.0,0.0026571425919880635,2164.4
8199,LKOH,2007-10-08,31774,B,T,34.48368258319526,0.0051248058362746525,2164.59
8220,LKOH,2007-10-08,31879,B,T,0.0004616783856130986,0.005609491295687625,2166.01
8223,LKOH,2007-10-08,31889,S,T,-3.446044610549293,0.007023861249156805,2166.19
8225,LKOH,2007-10-08,31897,B,T,-0.008036905128318202,0.005546316149876242,2166.0
8228,LKOH,2007-10-08,31908,B,T,0.00018269924753963964,0.005775920824000609,2165.16
8254,LKOH,2007-10-08,31996,S,T,0.03549595335873035,0.004857575220120518,2166.59
8270,LKOH,2007-10-08,32059,B,T,0.049432229219359705,0.007291363956855192,2166.21
8278,LKOH,2007-10-08,32096,B,T,0.20996337841947396,0.0001216962978343399,2168.1
8286,LKOH,2007-10-08,32139,S,T,0.0018442018294465375,0.0039639805432670466,2168.96
8293,LKOH,2007-10-08,32168,S,T,-10.160957303610864,0.0009564923773299198,2168.77
